"County","State","Outbreak Date","Flock Type","Flock Size"
"Sanilac","Michigan","12-30-2022","WOAH Non-Poultry","30"
"Snohomish","Washington","12-30-2022","WOAH Poultry","180"
"Pierce","Washington","12-29-2022","WOAH Non-Poultry","40"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","19000"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","43600"
"Elk","Kansas","12-28-2022","WOAH Non-Poultry","30"
"Glenn","California","12-22-2022","Commercial Upland Gamebird Producer","32000"
"Bates","Missouri","12-21-2022","WOAH Non-Poultry","30"
"St. Clair","Illinois","12-21-2022","WOAH Non-Poultry","60"
"Weakley","Tennessee","12-21-2022","WOAH Poultry","28800"
"Umatilla","Oregon","12-21-2022","WOAH Non-Poultry","10"
"Weld","Colorado","12-20-2022","Commercial Table Egg Layer","239700"
"Hanson","South Dakota","12-20-2022","Commercial Turkey Meat Bird","31800"
"Gem","Idaho","12-20-2022","WOAH Non-Poultry","80"
"Mendocino","California","12-19-2022","WOAH Non-Poultry","20"
"Flathead","Montana","12-16-2022","WOAH Non-Poultry","0"
"Butte","California","12-16-2022","WOAH Non-Poultry","20"
"Duval","Florida","12-16-2022","WOAH Non-Poultry","10"
"Weld","Colorado","12-16-2022","Commercial Table Egg Layer","1291000"
"Polk","Oregon","12-15-2022","WOAH Non-Poultry","20"
"Franklin","Washington","12-14-2022","Commercial Table Egg Layer","1015500"
"Knox","Nebraska","12-14-2022","WOAH Poultry","160"
"Weakley","Tennessee","12-14-2022","WOAH Poultry","37900"
"Spink","South Dakota","12-14-2022","WOAH Poultry","280"
"Redwood","Minnesota","12-14-2022","WOAH Non-Poultry","40"
"Moody","South Dakota","12-14-2022","Commercial Table Egg Layer","1332100"
"Daviess","Indiana","12-13-2022","Commercial Turkey Meat Bird","11400"
"Columbia","Oregon","12-13-2022","WOAH Non-Poultry","100"
"Linn","Oregon","12-13-2022","WOAH Non-Poultry","20"
"Wadena","Minnesota","12-12-2022","Commercial Turkey Meat Bird","298100"
"Cherokee","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Ida","Iowa","12-12-2022","Commercial Turkey Meat Bird","90000"
"Buena Vista","Iowa","12-12-2022","Commercial Turkey Meat Bird","51200"
"Sac","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Hanson","South Dakota","12-12-2022","Commercial Turkey Meat Bird","23900"
"Polk","Oregon","12-09-2022","WOAH Non-Poultry","70"
"Onslow","North Carolina","12-09-2022","WOAH Non-Poultry","60"
"Prowers","Colorado","12-09-2022","Commercial Upland Gamebird Producer","11000"
"Osage","Missouri","12-09-2022","Commercial Turkey Meat Bird","19700"
"Clackamas","Oregon","12-09-2022","WOAH Non-Poultry","60"
"Dodge","Minnesota","12-08-2022","Commercial Turkey Meat Bird","10000"
"Hamlin","South Dakota","12-08-2022","Commercial Turkey Meat Bird","58100"
"Dade","Missouri","12-08-2022","WOAH Non-Poultry","30"
"Kingsbury","South Dakota","12-07-2022","WOAH Non-Poultry","70"
"Cherokee","Iowa","12-07-2022","Commercial Turkey Meat Bird","105000"
"Sac","Iowa","12-07-2022","Commercial Turkey Meat Bird","40000"
"Denton","Texas","12-06-2022","WOAH Non-Poultry","40"
"Harrison","Missouri","12-06-2022","WOAH Non-Poultry","30"
"Pawnee","Oklahoma","12-06-2022","WOAH Non-Poultry","30"
"Lamoille","Vermont","12-06-2022","WOAH Non-Poultry","50"
"Larimer","Colorado","12-06-2022","WOAH Non-Poultry","2"
"Buena Vista","Iowa","12-05-2022","Commercial Turkey Meat Bird","40700"
"Charles Mix","South Dakota","12-05-2022","Commercial Turkey Meat Bird","34100"
"Lawrence","Alabama","12-05-2022","WOAH Non-Poultry","460"
"Clark","South Dakota","12-05-2022","Commercial Turkey Meat Bird","24300"
"Clark","South Dakota","12-02-2022","WOAH Non-Poultry","40"
"Knox","Nebraska","12-02-2022","WOAH Non-Poultry","10"
"Union","North Carolina","12-02-2022","WOAH Non-Poultry","9"
"Lake","South Dakota","12-01-2022","Commercial Turkey Meat Bird","78000"
"Arkansas","Arkansas","12-01-2022","WOAH Non-Poultry","20"
"Jackson","Missouri","12-01-2022","WOAH Non-Poultry","30"
"Brookings","South Dakota","12-01-2022","WOAH Non-Poultry","210"
"Charles Mix","South Dakota","11-30-2022","Commercial Turkey Meat Bird","75100"
"Grundy","Illinois","11-30-2022","WOAH Poultry","8800"
"Hamlin","South Dakota","11-30-2022","Commercial Turkey Meat Bird","50000"
"Hanson","South Dakota","11-29-2022","Commercial Turkey Meat Bird","71600"
"Washington","Maryland","11-29-2022","Commercial Table Egg Breeder","24600"
"Spink","South Dakota","11-29-2022","Commercial Turkey Meat Bird","32900"
"Webster","Missouri","11-28-2022","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","WOAH Poultry","3000"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Lowndes","Mississippi","11-14-2022","WOAH Non-Poultry","0"
"Queens","New York","11-12-2022","WOAH Poultry","170"
"Mountrail","North Dakota","11-10-2022","WOAH Non-Poultry","40"
"Lapeer","Michigan","11-10-2022","WOAH Poultry","990"
"Ward","North Dakota","11-10-2022","WOAH Poultry","20"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Breeder Toms","160"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Meat Bird","18500"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Breeder Hens","7500"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Meat Bird","17400"
"Louisa","Iowa","11-08-2022","WOAH Non-Poultry","20"
"Snohomish","Washington","11-08-2022","WOAH Non-Poultry","150"
"Converse","Wyoming","11-07-2022","WOAH Non-Poultry","20"
"Gloucester","Virginia","11-07-2022","WOAH Non-Poultry","80"
"Butler","Ohio","11-07-2022","WOAH Poultry","150"
"Jefferson","Wisconsin","11-07-2022","Commercial Upland Gamebird Producer","187900"
"Wright","Iowa","11-06-2022","Commercial Table Egg Layer","1022800"
"Lehigh","Pennsylvania","11-04-2022","Commercial Turkey Meat Bird","14500"
"Sullivan","New York","11-04-2022","WOAH Non-Poultry","110"
